"index","geoLocationCity","count"
"0","Lusaka","28"
"1","Lexington","2"
"2","Berea","2"
"3","Palermo","1"
"4","Ndola","1"
"5","Chisamba","1"
"6","Solwezi","1"
"7","Milan","1"
"8","Paris","1"
